policy,mplan,eff,amount,credit_code,reversal_code,date_reversed,coder_reversed,control_number,offset_control,record_seq,benefit_seq,date_added,term_reason,description,adj_or_pay,duration
9010718278,1659C2,20230604,107.11,13,Y,20230417,MENA,451211126221,0,0,4,20230413,P,,,40
9010723386,1659C2,20230718,752.0,13,Y,20230720,CADA,452171836340,0,0,3,20230718,P,,,40
9010731608,1659C2,20211008,271.0,13,Y,20211014,CADA,445671826173,0,0,4,20211008,P,,,38
9010759932,1659C2,20220807,329.25,13,Y,20220818,PAKA,448721811194,0,0,2,20220808,P,,,38
9010760294,1659C2,20200901,340.25,13,Y,20200901,PAKA,441651358193,0,0,2,20200901,P,,,36
9010760294,1659C2,20200901,340.25,13,Y,20200908,PAKA,441651411049,0,0,2,20200901,P,,,36
9010762319,1659C2,20210827,199.75,13,Y,20211201,CADA,446201630340,0,0,3,20211130,P,,,37
9010764812,1659CR,20230915,388.9,13,Y,20231003,PAKA,452761807441,0,0,2,20230915,P,,,39
9010768339,1659CR,20201018,263.2,13,Y,20210202,PAKA,442131813037,0,0,2,20201019,P,,,36
9010774773,1659C2,20241216,604.5,13,Y,20241223,C03A,457351824509,0,0,2,20241216,P,,,40
9010774773,1659C2,20241216,604.5,13,Y,20241226,PAKA,457421812587,0,0,2,20241223,P,,,40
9010774773,1659C2,20241216,604.5,13,Y,20241226,PAKA,457451036235,0,0,2,20241226,P,,,40
9010779191,1659C2,20200127,407.5,13,Y,20200128,C03A,439471812284,0,0,2,20200127,P,,,35
9010779191,1659C2,20200127,407.5,13,Y,20200204,PAKA,439481804119,0,0,2,20200128,P,,,35
9010779552,1659C2,20190201,175.25,13,Y,20190402,C03A,435862010410,0,0,4,20190201,P,,,34
9010780411,1659CR,20180205,317.1,13,Y,20180214,PAKA,432241808261,0,0,2,20180205,P,,,33
9010780411,1659CR,20180205,317.1,13,Y,20180222,PAKA,432331303542,0,0,2,20180214,P,,,33
9010780411,1659CR,20180205,317.1,13,Y,20180214,PAKA,432331300377,0,0,2,20180214,P,,,33
9010780411,1659CR,20180205,317.1,13,Y,20180214,PAKA,432331301350,0,0,2,20180214,P,,,33
9010780411,1659CR,20180205,317.1,13,Y,20180214,PAKA,432331303422,0,0,2,20180214,P,,,33
9010780411,1659CR,20180205,317.1,13,Y,20180320,KAR1,432411539027,0,0,2,20180222,P,,,33
9010780411,1659CR,20190205,317.1,13,Y,20180320,KAR1,432411540304,0,0,2,20180222,P,,,34
9010780411,1659CR,20180205,317.1,13,Y,20180320,KAR1,432671144545,0,0,2,20180320,P,,,33
9010780591,1659C2,20230209,1357.0,13,Y,20230127,CADA,450450933376,0,0,3,20230127,P,,,38
9010780591,1659C2,20230209,1357.0,13,Y,20230127,CADA,450450934091,0,0,3,20230127,P,,,38
9010780591,1659C2,20230209,1357.0,13,Y,20230131,CADA,450450935512,0,0,3,20230127,P,,,38
9010786237,1659CR,20250319,142.1,13,Y,20250811,C03A,458281801207,0,0,2,20250319,P,,,40
9010786237,1659CR,20250319,142.1,13,Y,20250813,EAEA,459731805496,0,0,2,20250811,P,,,40
9010804489,1659CR,20240718,217.2,13,Y,20240719,CADA,455841804264,0,0,2,20240718,P,,,39
9010804489,1659CR,20240718,217.2,13,Y,20240725,KAR1,455851800099,0,0,2,20240719,P,,,39
9010804489,1659CR,20250718,217.2,13,Y,20240725,KAR1,455911133509,0,0,2,20240725,P,,,40
9010807698,1659CR,20210825,179.35,13,Y,20210915,PAKA,445231811554,0,0,2,20210825,P,,,36
9010807720,1659CR,20220815,142.1,13,Y,20230222,PAKA,448791841095,0,0,2,20220815,P,,,37
9010815236,1659C2,20221002,174.51,13,Y,20221201,C03A,449282022261,0,0,4,20221003,P,,,37
9010825438,1659CR,20220123,241.09,13,Y,20230217,PAKA,446761837092,0,0,2,20220124,P,,,36
9010825438,1659CR,20230123,241.09,13,Y,20230217,PAKA,450411820287,0,0,2,20230123,P,,,37
9010825438,1659CR,20230123,241.09,13,Y,20230217,PAKA,450660956110,0,0,2,20230217,P,,,37
9010828369,1659C2,20190203,279.25,13,Y,20190313,CADA,435891836183,0,0,6,20190204,P,,,33
9010845878,1659C2,20210716,390.25,13,Y,20210802,PAKA,444831807322,0,0,3,20210716,P,,,35
9010845878,1659C2,20210716,390.25,13,Y,20210812,PAKA,445001344357,0,0,3,20210802,P,,,35
9010845878,1659C2,20210716,390.25,13,Y,20210816,CADA,445101515317,0,0,3,20210812,P,,,35
9010845878,1659C2,20210716,390.25,13,Y,20210816,CADA,445141300234,0,0,3,20210816,P,,,35
9010863334,1659C2,20241228,717.25,13,Y,20250305,CADA,457491808151,0,0,2,20241230,P,,,38
9010904097,1659CR,20230615,163.2,13,Y,20251205,EAEA,451841856530,0,0,2,20230615,P,,,36
9010904097,1659CR,20240615,163.2,13,Y,20251205,EAEA,455531823406,0,0,2,20240617,P,,,37
9010904097,1659CR,20250615,163.2,13,Y,20251205,EAEA,459171808529,0,0,2,20250616,P,,,38
9010941103,1659CR,20211201,326.32,13,Y,20220915,PAKA,446212014091,0,0,2,20211201,P,,,34
9010947021,1659CR,20181215,527.2,13,Y,20190910,PAKA,435391814441,0,0,2,20181217,P,,,31
9010948195,1659CR,20241207,206.95,13,Y,20250502,C03A,457281828228,0,0,2,20241209,P,,,37
9010948195,1659CR,20241207,206.95,13,Y,20250513,CADA,458721802175,0,0,2,20250502,P,,,37
9010985184,1659CR,20240426,217.79,13,Y,20250617,CADA,455011758153,0,0,2,20240426,P,,,36
9010985184,1659CR,20250426,217.79,13,Y,20250617,CADA,458681805376,0,0,2,20250428,P,,,37
9011035652,1659CR,20190315,289.55,13,Y,20190516,MENA,436840759018,0,0,2,20190510,P,,,29
9011039701,1659CR,20230514,369.7,13,Y,20230523,PAKA,451531919412,0,0,2,20230515,P,,,33
