governance_item_id,rule_id,rule_name,business_name,description,severity,status,data_region_path,source_table,source_field,source_record_id,key_value,invalid_value,expected_condition,actual_condition,message,run_id,run_timestamp,company_code,agent_number,agent_name,policy_number,duplicate_count,original_policy_number,normalized_policy_number,policy_number_length,min_permitted_length,max_permitted_length,company_code_source_field,account_number_source_field,original_company_code,normalized_company_code,original_account_number,normalized_account_number,composite_business_key,reference_table,reference_field,reference_match_count,group_number,original_group_number,normalized_group_number,original_billing_name,normalized_billing_name,original_value,normalized_value,expected_value,governance_run_date,controlling_date,expected_prior_month_end,failure_category,plan,mortality_table,eti_mortality_table,gender,underwriting_class,band,issue_state,effective_date,min_allowed_date,max_allowed_date
DG-PLANVALUES,DG-PLANVALUES-002,Validate Plan Value ETI Mortality Table Reference,ETI Mortality Table Must Exist in QuikQxs,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,Critical,FAIL,Q:\CSO\CSO_Test_6_30_2026,QuikPlCv,ETIMORT,1,130JEB,,ETIMORT exists once in QuikQxs.MORT,QuikPlCv plan '130JEB' contains a blank ETI mortality table.,QuikPlCv plan '130JEB' contains a blank ETI mortality table.,DG-20260719_103948_701830,2026-07-19 10:39:48,,,,,,,,,,,,,,,,,,QuikQxs,MORT,0,,,,,,,,,,,,BLANK_VALUE,130JEB,,,M,00,00,00,,,
DG-PLANVALUES,DG-PLANVALUES-002,Validate Plan Value ETI Mortality Table Reference,ETI Mortality Table Must Exist in QuikQxs,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,Critical,FAIL,Q:\CSO\CSO_Test_6_30_2026,QuikPlCv,ETIMORT,16,1666AI,,ETIMORT exists once in QuikQxs.MORT,QuikPlCv plan '1666AI' contains a blank ETI mortality table.,QuikPlCv plan '1666AI' contains a blank ETI mortality table.,DG-20260719_103948_701830,2026-07-19 10:39:48,,,,,,,,,,,,,,,,,,QuikQxs,MORT,0,,,,,,,,,,,,BLANK_VALUE,1666AI,,,M,00,00,00,,,
DG-PLANVALUES,DG-PLANVALUES-002,Validate Plan Value ETI Mortality Table Reference,ETI Mortality Table Must Exist in QuikQxs,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,Critical,FAIL,Q:\CSO\CSO_Test_6_30_2026,QuikPlCv,ETIMORT,81,1SALMI,,ETIMORT exists once in QuikQxs.MORT,QuikPlCv plan '1SALMI' contains a blank ETI mortality table.,QuikPlCv plan '1SALMI' contains a blank ETI mortality table.,DG-20260719_103948_701830,2026-07-19 10:39:48,,,,,,,,,,,,,,,,,,QuikQxs,MORT,0,,,,,,,,,,,,BLANK_VALUE,1SALMI,,,M,00,00,00,,,
DG-PLANVALUES,DG-PLANVALUES-002,Validate Plan Value ETI Mortality Table Reference,ETI Mortality Table Must Exist in QuikQxs,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,Critical,FAIL,Q:\CSO\CSO_Test_6_30_2026,QuikPlCv,ETIMORT,86,261PUA,,ETIMORT exists once in QuikQxs.MORT,QuikPlCv plan '261PUA' contains a blank ETI mortality table.,QuikPlCv plan '261PUA' contains a blank ETI mortality table.,DG-20260719_103948_701830,2026-07-19 10:39:48,,,,,,,,,,,,,,,,,,QuikQxs,MORT,0,,,,,,,,,,,,BLANK_VALUE,261PUA,,,F,00,00,00,,,
DG-PLANVALUES,DG-PLANVALUES-002,Validate Plan Value ETI Mortality Table Reference,ETI Mortality Table Must Exist in QuikQxs,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,Critical,FAIL,Q:\CSO\CSO_Test_6_30_2026,QuikPlCv,ETIMORT,87,261PUA,,ETIMORT exists once in QuikQxs.MORT,QuikPlCv plan '261PUA' contains a blank ETI mortality table.,QuikPlCv plan '261PUA' contains a blank ETI mortality table.,DG-20260719_103948_701830,2026-07-19 10:39:48,,,,,,,,,,,,,,,,,,QuikQxs,MORT,0,,,,,,,,,,,,BLANK_VALUE,261PUA,,,M,00,00,00,,,
DG-PLANVALUES,DG-PLANVALUES-002,Validate Plan Value ETI Mortality Table Reference,ETI Mortality Table Must Exist in QuikQxs,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,Critical,FAIL,Q:\CSO\CSO_Test_6_30_2026,QuikPlCv,ETIMORT,88,265PUA,,ETIMORT exists once in QuikQxs.MORT,QuikPlCv plan '265PUA' contains a blank ETI mortality table.,QuikPlCv plan '265PUA' contains a blank ETI mortality table.,DG-20260719_103948_701830,2026-07-19 10:39:48,,,,,,,,,,,,,,,,,,QuikQxs,MORT,0,,,,,,,,,,,,BLANK_VALUE,265PUA,,,M,00,00,00,,,
DG-PLANVALUES,DG-PLANVALUES-002,Validate Plan Value ETI Mortality Table Reference,ETI Mortality Table Must Exist in QuikQxs,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,Critical,FAIL,Q:\CSO\CSO_Test_6_30_2026,QuikPlCv,ETIMORT,92,280PUA,,ETIMORT exists once in QuikQxs.MORT,QuikPlCv plan '280PUA' contains a blank ETI mortality table.,QuikPlCv plan '280PUA' contains a blank ETI mortality table.,DG-20260719_103948_701830,2026-07-19 10:39:48,,,,,,,,,,,,,,,,,,QuikQxs,MORT,0,,,,,,,,,,,,BLANK_VALUE,280PUA,,,F,00,00,00,,,
DG-PLANVALUES,DG-PLANVALUES-002,Validate Plan Value ETI Mortality Table Reference,ETI Mortality Table Must Exist in QuikQxs,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,Critical,FAIL,Q:\CSO\CSO_Test_6_30_2026,QuikPlCv,ETIMORT,93,280PUA,,ETIMORT exists once in QuikQxs.MORT,QuikPlCv plan '280PUA' contains a blank ETI mortality table.,QuikPlCv plan '280PUA' contains a blank ETI mortality table.,DG-20260719_103948_701830,2026-07-19 10:39:48,,,,,,,,,,,,,,,,,,QuikQxs,MORT,0,,,,,,,,,,,,BLANK_VALUE,280PUA,,,M,00,00,00,,,
DG-PLANVALUES,DG-PLANVALUES-002,Validate Plan Value ETI Mortality Table Reference,ETI Mortality Table Must Exist in QuikQxs,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,Critical,FAIL,Q:\CSO\CSO_Test_6_30_2026,QuikPlCv,ETIMORT,96,560STR,,ETIMORT exists once in QuikQxs.MORT,QuikPlCv plan '560STR' contains a blank ETI mortality table.,QuikPlCv plan '560STR' contains a blank ETI mortality table.,DG-20260719_103948_701830,2026-07-19 10:39:48,,,,,,,,,,,,,,,,,,QuikQxs,MORT,0,,,,,,,,,,,,BLANK_VALUE,560STR,,,M,00,00,00,,,
DG-PLANVALUES,DG-PLANVALUES-002,Validate Plan Value ETI Mortality Table Reference,ETI Mortality Table Must Exist in QuikQxs,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,Critical,FAIL,Q:\CSO\CSO_Test_6_30_2026,QuikPlCv,ETIMORT,97,578STR,,ETIMORT exists once in QuikQxs.MORT,QuikPlCv plan '578STR' contains a blank ETI mortality table.,QuikPlCv plan '578STR' contains a blank ETI mortality table.,DG-20260719_103948_701830,2026-07-19 10:39:48,,,,,,,,,,,,,,,,,,QuikQxs,MORT,0,,,,,,,,,,,,BLANK_VALUE,578STR,,,M,SM,00,00,,,
DG-PLANVALUES,DG-PLANVALUES-002,Validate Plan Value ETI Mortality Table Reference,ETI Mortality Table Must Exist in QuikQxs,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,Critical,FAIL,Q:\CSO\CSO_Test_6_30_2026,QuikPlCv,ETIMORT,98,A96DAR,,ETIMORT exists once in QuikQxs.MORT,QuikPlCv plan 'A96DAR' contains a blank ETI mortality table.,QuikPlCv plan 'A96DAR' contains a blank ETI mortality table.,DG-20260719_103948_701830,2026-07-19 10:39:48,,,,,,,,,,,,,,,,,,QuikQxs,MORT,0,,,,,,,,,,,,BLANK_VALUE,A96DAR,,,M,00,00,00,,,
DG-PLANVALUES,DG-PLANVALUES-002,Validate Plan Value ETI Mortality Table Reference,ETI Mortality Table Must Exist in QuikQxs,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,Critical,FAIL,Q:\CSO\CSO_Test_6_30_2026,QuikPlCv,ETIMORT,100,528CTR,,ETIMORT exists once in QuikQxs.MORT,QuikPlCv plan '528CTR' contains a blank ETI mortality table.,QuikPlCv plan '528CTR' contains a blank ETI mortality table.,DG-20260719_103948_701830,2026-07-19 10:39:48,,,,,,,,,,,,,,,,,,QuikQxs,MORT,0,,,,,,,,,,,,BLANK_VALUE,528CTR,,,M,00,00,00,,,
DG-PLANVALUES,DG-PLANVALUES-002,Validate Plan Value ETI Mortality Table Reference,ETI Mortality Table Must Exist in QuikQxs,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,Critical,FAIL,Q:\CSO\CSO_Test_6_30_2026,QuikPlCv,ETIMORT,101,542STR,,ETIMORT exists once in QuikQxs.MORT,QuikPlCv plan '542STR' contains a blank ETI mortality table.,QuikPlCv plan '542STR' contains a blank ETI mortality table.,DG-20260719_103948_701830,2026-07-19 10:39:48,,,,,,,,,,,,,,,,,,QuikQxs,MORT,0,,,,,,,,,,,,BLANK_VALUE,542STR,,,M,PR,00,00,,,
DG-PLANVALUES,DG-PLANVALUES-002,Validate Plan Value ETI Mortality Table Reference,ETI Mortality Table Must Exist in QuikQxs,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,Critical,FAIL,Q:\CSO\CSO_Test_6_30_2026,QuikPlCv,ETIMORT,102,543CTR,,ETIMORT exists once in QuikQxs.MORT,QuikPlCv plan '543CTR' contains a blank ETI mortality table.,QuikPlCv plan '543CTR' contains a blank ETI mortality table.,DG-20260719_103948_701830,2026-07-19 10:39:48,,,,,,,,,,,,,,,,,,QuikQxs,MORT,0,,,,,,,,,,,,BLANK_VALUE,543CTR,,,M,PR,00,00,,,
DG-PLANVALUES,DG-PLANVALUES-002,Validate Plan Value ETI Mortality Table Reference,ETI Mortality Table Must Exist in QuikQxs,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,Critical,FAIL,Q:\CSO\CSO_Test_6_30_2026,QuikPlCv,ETIMORT,103,5646AT,,ETIMORT exists once in QuikQxs.MORT,QuikPlCv plan '5646AT' contains a blank ETI mortality table.,QuikPlCv plan '5646AT' contains a blank ETI mortality table.,DG-20260719_103948_701830,2026-07-19 10:39:48,,,,,,,,,,,,,,,,,,QuikQxs,MORT,0,,,,,,,,,,,,BLANK_VALUE,5646AT,O1,,F,SM,00,00,,,
DG-PLANVALUES,DG-PLANVALUES-002,Validate Plan Value ETI Mortality Table Reference,ETI Mortality Table Must Exist in QuikQxs,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,Critical,FAIL,Q:\CSO\CSO_Test_6_30_2026,QuikPlCv,ETIMORT,104,5667AT,,ETIMORT exists once in QuikQxs.MORT,QuikPlCv plan '5667AT' contains a blank ETI mortality table.,QuikPlCv plan '5667AT' contains a blank ETI mortality table.,DG-20260719_103948_701830,2026-07-19 10:39:48,,,,,,,,,,,,,,,,,,QuikQxs,MORT,0,,,,,,,,,,,,BLANK_VALUE,5667AT,A1,,M,PR,00,00,,,
DG-PLANVALUES,DG-PLANVALUES-002,Validate Plan Value ETI Mortality Table Reference,ETI Mortality Table Must Exist in QuikQxs,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,Critical,FAIL,Q:\CSO\CSO_Test_6_30_2026,QuikPlCv,ETIMORT,105,578CTR,,ETIMORT exists once in QuikQxs.MORT,QuikPlCv plan '578CTR' contains a blank ETI mortality table.,QuikPlCv plan '578CTR' contains a blank ETI mortality table.,DG-20260719_103948_701830,2026-07-19 10:39:48,,,,,,,,,,,,,,,,,,QuikQxs,MORT,0,,,,,,,,,,,,BLANK_VALUE,578CTR,,,M,SM,00,00,,,
