governance_item_id,rule_id,rule_name,business_name,description,severity,status,data_region_path,source_table,source_field,source_record_id,key_value,invalid_value,expected_condition,actual_condition,message,run_id,run_timestamp,company_code,agent_number,agent_name,policy_number,duplicate_count,original_policy_number,normalized_policy_number,policy_number_length,min_permitted_length,max_permitted_length,company_code_source_field,account_number_source_field,original_company_code,normalized_company_code,original_account_number,normalized_account_number,composite_business_key,reference_table,reference_field,reference_match_count,group_number,original_group_number,normalized_group_number,original_billing_name,normalized_billing_name,original_value,normalized_value,expected_value,governance_run_date,controlling_date,expected_prior_month_end,failure_category,plan,mortality_table,eti_mortality_table,gender,underwriting_class,band,issue_state,effective_date,min_allowed_date,max_allowed_date
DG-QUIKPLAN,DG-QUIKPLAN-028,Validate Annuity Supporting Tables,Annuity Plans Should Have Required Annuity Tables,Warn when annuity plans are missing expected annuity setup records.,Advisory,WARN,Q:\WPA\WPA_GABIE,QuikAinf,MPLAN,262,A80917,,A Annuity Information Setup record,Missing,Annuity plan A80917 does not have a Annuity Information Setup record.,DG-20260719_104533_616431,2026-07-19 10:45:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_ANNUITY_TABLE,A80917,,,,,,,,,
DG-QUIKPLAN,DG-QUIKPLAN-028,Validate Annuity Supporting Tables,Annuity Plans Should Have Required Annuity Tables,Warn when annuity plans are missing expected annuity setup records.,Advisory,WARN,Q:\WPA\WPA_GABIE,QuikAinf,MPLAN,263,A80918,,A Annuity Information Setup record,Missing,Annuity plan A80918 does not have a Annuity Information Setup record.,DG-20260719_104533_616431,2026-07-19 10:45:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_ANNUITY_TABLE,A80918,,,,,,,,,
DG-QUIKPLAN,DG-QUIKPLAN-028,Validate Annuity Supporting Tables,Annuity Plans Should Have Required Annuity Tables,Warn when annuity plans are missing expected annuity setup records.,Advisory,WARN,Q:\WPA\WPA_GABIE,QuikAinf,MPLAN,264,A80919,,A Annuity Information Setup record,Missing,Annuity plan A80919 does not have a Annuity Information Setup record.,DG-20260719_104533_616431,2026-07-19 10:45:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_ANNUITY_TABLE,A80919,,,,,,,,,
DG-QUIKPLAN,DG-QUIKPLAN-028,Validate Annuity Supporting Tables,Annuity Plans Should Have Required Annuity Tables,Warn when annuity plans are missing expected annuity setup records.,Advisory,WARN,Q:\WPA\WPA_GABIE,QuikAinf,MPLAN,265,A80920,,A Annuity Information Setup record,Missing,Annuity plan A80920 does not have a Annuity Information Setup record.,DG-20260719_104533_616431,2026-07-19 10:45:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_ANNUITY_TABLE,A80920,,,,,,,,,
DG-QUIKPLAN,DG-QUIKPLAN-028,Validate Annuity Supporting Tables,Annuity Plans Should Have Required Annuity Tables,Warn when annuity plans are missing expected annuity setup records.,Advisory,WARN,Q:\WPA\WPA_GABIE,QuikAinf,MPLAN,266,A80921,,A Annuity Information Setup record,Missing,Annuity plan A80921 does not have a Annuity Information Setup record.,DG-20260719_104533_616431,2026-07-19 10:45:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_ANNUITY_TABLE,A80921,,,,,,,,,
DG-QUIKPLAN,DG-QUIKPLAN-028,Validate Annuity Supporting Tables,Annuity Plans Should Have Required Annuity Tables,Warn when annuity plans are missing expected annuity setup records.,Advisory,WARN,Q:\WPA\WPA_GABIE,QuikAinf,MPLAN,267,A80922,,A Annuity Information Setup record,Missing,Annuity plan A80922 does not have a Annuity Information Setup record.,DG-20260719_104533_616431,2026-07-19 10:45:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_ANNUITY_TABLE,A80922,,,,,,,,,
DG-QUIKPLAN,DG-QUIKPLAN-028,Validate Annuity Supporting Tables,Annuity Plans Should Have Required Annuity Tables,Warn when annuity plans are missing expected annuity setup records.,Advisory,WARN,Q:\WPA\WPA_GABIE,QuikAinf,MPLAN,268,A80923,,A Annuity Information Setup record,Missing,Annuity plan A80923 does not have a Annuity Information Setup record.,DG-20260719_104533_616431,2026-07-19 10:45:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_ANNUITY_TABLE,A80923,,,,,,,,,
DG-QUIKPLAN,DG-QUIKPLAN-028,Validate Annuity Supporting Tables,Annuity Plans Should Have Required Annuity Tables,Warn when annuity plans are missing expected annuity setup records.,Advisory,WARN,Q:\WPA\WPA_GABIE,QuikAinf,MPLAN,269,A80924,,A Annuity Information Setup record,Missing,Annuity plan A80924 does not have a Annuity Information Setup record.,DG-20260719_104533_616431,2026-07-19 10:45:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_ANNUITY_TABLE,A80924,,,,,,,,,
DG-QUIKPLAN,DG-QUIKPLAN-028,Validate Annuity Supporting Tables,Annuity Plans Should Have Required Annuity Tables,Warn when annuity plans are missing expected annuity setup records.,Advisory,WARN,Q:\WPA\WPA_GABIE,QuikAinf,MPLAN,270,A80925,,A Annuity Information Setup record,Missing,Annuity plan A80925 does not have a Annuity Information Setup record.,DG-20260719_104533_616431,2026-07-19 10:45:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_ANNUITY_TABLE,A80925,,,,,,,,,
DG-QUIKPLAN,DG-QUIKPLAN-028,Validate Annuity Supporting Tables,Annuity Plans Should Have Required Annuity Tables,Warn when annuity plans are missing expected annuity setup records.,Advisory,WARN,Q:\WPA\WPA_GABIE,QuikAinf,MPLAN,336,A81923,,A Annuity Information Setup record,Missing,Annuity plan A81923 does not have a Annuity Information Setup record.,DG-20260719_104533_616431,2026-07-19 10:45:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_ANNUITY_TABLE,A81923,,,,,,,,,
DG-QUIKPLAN,DG-QUIKPLAN-028,Validate Annuity Supporting Tables,Annuity Plans Should Have Required Annuity Tables,Warn when annuity plans are missing expected annuity setup records.,Advisory,WARN,Q:\WPA\WPA_GABIE,QuikAinf,MPLAN,337,A81927,,A Annuity Information Setup record,Missing,Annuity plan A81927 does not have a Annuity Information Setup record.,DG-20260719_104533_616431,2026-07-19 10:45:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_ANNUITY_TABLE,A81927,,,,,,,,,
DG-QUIKPLAN,DG-QUIKPLAN-028,Validate Annuity Supporting Tables,Annuity Plans Should Have Required Annuity Tables,Warn when annuity plans are missing expected annuity setup records.,Advisory,WARN,Q:\WPA\WPA_GABIE,QuikAinf,MPLAN,338,A81928,,A Annuity Information Setup record,Missing,Annuity plan A81928 does not have a Annuity Information Setup record.,DG-20260719_104533_616431,2026-07-19 10:45:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_ANNUITY_TABLE,A81928,,,,,,,,,
DG-QUIKPLAN,DG-QUIKPLAN-028,Validate Annuity Supporting Tables,Annuity Plans Should Have Required Annuity Tables,Warn when annuity plans are missing expected annuity setup records.,Advisory,WARN,Q:\WPA\WPA_GABIE,QuikAinf,MPLAN,596,A84717,,A Annuity Information Setup record,Missing,Annuity plan A84717 does not have a Annuity Information Setup record.,DG-20260719_104533_616431,2026-07-19 10:45:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_ANNUITY_TABLE,A84717,,,,,,,,,
DG-QUIKPLAN,DG-QUIKPLAN-028,Validate Annuity Supporting Tables,Annuity Plans Should Have Required Annuity Tables,Warn when annuity plans are missing expected annuity setup records.,Advisory,WARN,Q:\WPA\WPA_GABIE,QuikAinf,MPLAN,598,A84718,,A Annuity Information Setup record,Missing,Annuity plan A84718 does not have a Annuity Information Setup record.,DG-20260719_104533_616431,2026-07-19 10:45:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_ANNUITY_TABLE,A84718,,,,,,,,,
DG-QUIKPLAN,DG-QUIKPLAN-028,Validate Annuity Supporting Tables,Annuity Plans Should Have Required Annuity Tables,Warn when annuity plans are missing expected annuity setup records.,Advisory,WARN,Q:\WPA\WPA_GABIE,QuikAinf,MPLAN,600,A84719,,A Annuity Information Setup record,Missing,Annuity plan A84719 does not have a Annuity Information Setup record.,DG-20260719_104533_616431,2026-07-19 10:45:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_ANNUITY_TABLE,A84719,,,,,,,,,
DG-QUIKPLAN,DG-QUIKPLAN-028,Validate Annuity Supporting Tables,Annuity Plans Should Have Required Annuity Tables,Warn when annuity plans are missing expected annuity setup records.,Advisory,WARN,Q:\WPA\WPA_GABIE,QuikAinf,MPLAN,602,A84720,,A Annuity Information Setup record,Missing,Annuity plan A84720 does not have a Annuity Information Setup record.,DG-20260719_104533_616431,2026-07-19 10:45:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_ANNUITY_TABLE,A84720,,,,,,,,,
DG-QUIKPLAN,DG-QUIKPLAN-028,Validate Annuity Supporting Tables,Annuity Plans Should Have Required Annuity Tables,Warn when annuity plans are missing expected annuity setup records.,Advisory,WARN,Q:\WPA\WPA_GABIE,QuikAinf,MPLAN,604,A84721,,A Annuity Information Setup record,Missing,Annuity plan A84721 does not have a Annuity Information Setup record.,DG-20260719_104533_616431,2026-07-19 10:45:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_ANNUITY_TABLE,A84721,,,,,,,,,
DG-QUIKPLAN,DG-QUIKPLAN-028,Validate Annuity Supporting Tables,Annuity Plans Should Have Required Annuity Tables,Warn when annuity plans are missing expected annuity setup records.,Advisory,WARN,Q:\WPA\WPA_GABIE,QuikAinf,MPLAN,605,A84722,,A Annuity Information Setup record,Missing,Annuity plan A84722 does not have a Annuity Information Setup record.,DG-20260719_104533_616431,2026-07-19 10:45:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_ANNUITY_TABLE,A84722,,,,,,,,,
DG-QUIKPLAN,DG-QUIKPLAN-028,Validate Annuity Supporting Tables,Annuity Plans Should Have Required Annuity Tables,Warn when annuity plans are missing expected annuity setup records.,Advisory,WARN,Q:\WPA\WPA_GABIE,QuikAint,MPLAN,606,A84723,,A Annuity Interest Setup record,Missing,Annuity plan A84723 does not have a Annuity Interest Setup record.,DG-20260719_104533_616431,2026-07-19 10:45:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_ANNUITY_TABLE,A84723,,,,,,,,,
DG-QUIKPLAN,DG-QUIKPLAN-028,Validate Annuity Supporting Tables,Annuity Plans Should Have Required Annuity Tables,Warn when annuity plans are missing expected annuity setup records.,Advisory,WARN,Q:\WPA\WPA_GABIE,QuikAing,MPLAN,606,A84723,,A Annuity Guarantee Setup record,Missing,Annuity plan A84723 does not have a Annuity Guarantee Setup record.,DG-20260719_104533_616431,2026-07-19 10:45:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_ANNUITY_TABLE,A84723,,,,,,,,,
DG-QUIKPLAN,DG-QUIKPLAN-028,Validate Annuity Supporting Tables,Annuity Plans Should Have Required Annuity Tables,Warn when annuity plans are missing expected annuity setup records.,Advisory,WARN,Q:\WPA\WPA_GABIE,QuikAinf,MPLAN,606,A84723,,A Annuity Information Setup record,Missing,Annuity plan A84723 does not have a Annuity Information Setup record.,DG-20260719_104533_616431,2026-07-19 10:45:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_ANNUITY_TABLE,A84723,,,,,,,,,
DG-QUIKPLAN,DG-QUIKPLAN-028,Validate Annuity Supporting Tables,Annuity Plans Should Have Required Annuity Tables,Warn when annuity plans are missing expected annuity setup records.,Advisory,WARN,Q:\WPA\WPA_GABIE,QuikAinf,MPLAN,607,A84724,,A Annuity Information Setup record,Missing,Annuity plan A84724 does not have a Annuity Information Setup record.,DG-20260719_104533_616431,2026-07-19 10:45:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_ANNUITY_TABLE,A84724,,,,,,,,,
DG-QUIKPLAN,DG-QUIKPLAN-028,Validate Annuity Supporting Tables,Annuity Plans Should Have Required Annuity Tables,Warn when annuity plans are missing expected annuity setup records.,Advisory,WARN,Q:\WPA\WPA_GABIE,QuikAinf,MPLAN,608,A84725,,A Annuity Information Setup record,Missing,Annuity plan A84725 does not have a Annuity Information Setup record.,DG-20260719_104533_616431,2026-07-19 10:45:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_ANNUITY_TABLE,A84725,,,,,,,,,
DG-QUIKPLAN,DG-QUIKPLAN-028,Validate Annuity Supporting Tables,Annuity Plans Should Have Required Annuity Tables,Warn when annuity plans are missing expected annuity setup records.,Advisory,WARN,Q:\WPA\WPA_GABIE,QuikAinf,MPLAN,609,A84917,,A Annuity Information Setup record,Missing,Annuity plan A84917 does not have a Annuity Information Setup record.,DG-20260719_104533_616431,2026-07-19 10:45:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_ANNUITY_TABLE,A84917,,,,,,,,,
